"Tm" "Ur" "Um" "Nn" "pl" "Mp" "Ml" "Cp" "Ct" "Lp" "Ca" "Uc" "Vf" "Hh" "Cc" "Aj" "Pp" "Pt" "Pl" "Tb" "Cs" "Db" "Eh" "Ec" "Eb" "Lg" "Cd" "Gc" "Sc" "Bb" "To" "Gg" "Gt" "Ac" "Mk" "Oa" "Oc" "He" "Am" "Cu" "Dl" "Ab" "Aa" "cc" "Dd" "Al" "Rt" "Ov" "Oh"
"Tm" 1 0.97142857143 0.92857142857 0.37142857143 0.37142857143 0.37142857143 0.37142857143 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ur" 0.97142857143 1 0.92857142857 0.37142857143 0.37142857143 0.37142857143 0.37142857143 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Um" 0.92857142857 0.92857142857 1 0.37142857143 0.37142857143 0.37142857143 0.37142857143 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nn" 0.37142857143 0.37142857143 0.37142857143 1 0.92857142857 0.55714285714 0.55714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"pl" 0.37142857143 0.37142857143 0.37142857143 0.92857142857 1 0.55714285714 0.55714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mp" 0.37142857143 0.37142857143 0.37142857143 0.55714285714 0.55714285714 1 0.71428571429 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ml" 0.37142857143 0.37142857143 0.37142857143 0.55714285714 0.55714285714 0.71428571429 1 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cp" 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 1 0.96428571429 0.95714285714 0.91428571429 0.87142857143 0.86428571429 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ct" 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.96428571429 1 0.95714285714 0.91428571429 0.87142857143 0.86428571429 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lp" 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.95714285714 0.95714285714 1 0.91428571429 0.87142857143 0.86428571429 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ca" 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.91428571429 0.91428571429 0.91428571429 1 0.87142857143 0.86428571429 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Uc" 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.87142857143 0.87142857143 0.87142857143 0.87142857143 1 0.86428571429 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vf" 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.25714285714 0.86428571429 0.86428571429 0.86428571429 0.86428571429 0.86428571429 1 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hh" 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 1 0.92857142857 0.62857142857 0.62857142857 0.62857142857 0.62857142857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cc" 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.92857142857 1 0.62857142857 0.62857142857 0.62857142857 0.62857142857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aj" 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.62857142857 0.62857142857 1 0.87142857143 0.87142857143 0.87142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pp" 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.62857142857 0.62857142857 0.87142857143 1 0.96428571429 0.96428571429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pt" 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.62857142857 0.62857142857 0.87142857143 0.96428571429 1 0.97142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pl" 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.17142857143 0.62857142857 0.62857142857 0.87142857143 0.96428571429 0.97142857143 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tb" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0.28571428571 0.28571428571 0.2 0.2 0.2 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143
"Cs" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.28571428571 1 0.81428571429 0.2 0.2 0.2 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143
"Db" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.28571428571 0.81428571429 1 0.2 0.2 0.2 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143
"Eh" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0.2 0.2 1 0.9 0.9 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143
"Ec" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0.2 0.2 0.9 1 0.91428571429 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143
"Eb" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0.2 0.2 0.9 0.91428571429 1 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143 0.057142857143
