"Sa" "Sh" "Tl" "Mc" "My" "Pb" "Ph" "Pg" "Pa" "Pm" "Tt" "Ts" "Ae" "Zv" "Zo" "La" "Ls" "Lv"
"Sa" 0.28947 0.14447 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sh" 0.14447 0.28947 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tl" 0 0 0.66354 0.51854 0.51854 0.39822 0.39822 0.39822 0.39822 0.39822 0.26582 0.26582 0.26582 0.13946 0.13946 0.13946 0.13946 0.13946
"Mc" 0 0 0.51854 0.78333 0.66301 0.39822 0.39822 0.39822 0.39822 0.39822 0.26582 0.26582 0.26582 0.13946 0.13946 0.13946 0.13946 0.13946
"My" 0 0 0.51854 0.66301 0.78333 0.39822 0.39822 0.39822 0.39822 0.39822 0.26582 0.26582 0.26582 0.13946 0.13946 0.13946 0.13946 0.13946
"Pb" 0 0 0.39822 0.39822 0.39822 0.79713 0.66724 0.66724 0.66724 0.54088 0.26582 0.26582 0.26582 0.13946 0.13946 0.13946 0.13946 0.13946
"Ph" 0 0 0.39822 0.39822 0.39822 0.66724 1 0.91375 0.7936 0.54088 0.26582 0.26582 0.26582 0.13946 0.13946 0.13946 0.13946 0.13946
"Pg" 0 0 0.39822 0.39822 0.39822 0.66724 0.91375 1 0.7936 0.54088 0.26582 0.26582 0.26582 0.13946 0.13946 0.13946 0.13946 0.13946
"Pa" 0 0 0.39822 0.39822 0.39822 0.66724 0.7936 0.7936 0.91392 0.54088 0.26582 0.26582 0.26582 0.13946 0.13946 0.13946 0.13946 0.13946
"Pm" 0 0 0.39822 0.39822 0.39822 0.54088 0.54088 0.54088 0.54088 0.67522 0.26582 0.26582 0.26582 0.13946 0.13946 0.13946 0.13946 0.13946
"Tt" 0 0 0.26582 0.26582 0.26582 0.26582 0.26582 0.26582 0.26582 0.26582 0.67043 0.52652 0.39218 0.13946 0.13946 0.13946 0.13946 0.13946
"Ts" 0 0 0.26582 0.26582 0.26582 0.26582 0.26582 0.26582 0.26582 0.26582 0.52652 0.67043 0.39218 0.13946 0.13946 0.13946 0.13946 0.13946
"Ae" 0 0 0.26582 0.26582 0.26582 0.26582 0.26582 0.26582 0.26582 0.26582 0.39218 0.39218 0.53859 0.13946 0.13946 0.13946 0.13946 0.13946
"Zv" 0 0 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.51329 0.41302 0.26582 0.26582 0.26582
"Zo" 0 0 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.41302 0.51329 0.26582 0.26582 0.26582
"La" 0 0 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.26582 0.26582 0.54816 0.40779 0.40779
"Ls" 0 0 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.26582 0.26582 0.40779 0.67647 0.54213
"Lv" 0 0 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.13946 0.26582 0.26582 0.40779 0.54213 0.67647
